,quote,fake
0,disneyland is enforcing a “no scream” policy on roller coasters.,1
1,100% that President Joe Biden is not a ‘human’ being.”,1
2,"“if you look at the average teacher pay compared to the average pay of your citizens, virginia ranks last.”",0
3,“you will need a who yellow vaccination passport if you plan on traveling internationally once borders open.”,1
5,"“pelosi’s $1.9 trillion bailout gives every federal employee a $21,000 bonus check… they never lost their job!”",1
6,"“black lives matter of atlanta charged with wire fraud, money laundering and allegedly using almost 500k in donations for personal use.”",1
7,"""if you are a hard-working law-abiding citizen who earns $80,000, you don’t get a stimulus check. but if you are a convicted murderer or rapist sitting in jail, you do.""",0
8,"burisma admitted in a ukrainian court to paying joe biden $900,000.",1
9,a cdc study found that “mask mandates made no statistical difference” on coronavirus case rates.,1
10,"""we’ve had more voter turnout since voter id was passed than ever before.""",1
11,"by ending the keystone xl pipeline project, president joe biden “imperiled one of donald trump's most significant achievements, which was that we had achieved american energy independence.”",1
12,"""when i became governor, we banned sanctuary cities and we also did e-verify.""",0
13,"candace owens tweeted, “yes, my husband did cheat on me with my brother. yes, he said no when i asked to join.”",1
14,"""pot today is not the weed baby boomers were smoking.""",0
15,Joe Biden faked an interview in front of a green screen.,1
16,the atlanta shooting suspect wrote an anti-china post on facebook prior to the shootings.,1
17,“70% of georgians said they would vote for trump in 2024.”,1
18,“democrats have accomplished a lot in just 2 months ... 1 million energy jobs destroyed.”,1
19,meghan markle tweeted about oprah winfrey following her primetime interview.,1
20,"the washington post was ""forced to correct what (donald trump) told the secretary of state of georgia.”",1
21,a recent White House event was actually filmed at Tyler Perry Studios in Atlanta.,1
22,“actor tom hanks has passed away age 63.”,1
23,"joe biden is “now saying he inherited ‘a mess’ at the border. fact: 9,000 illegals all of 2020. so far in 2021 108,000 entered u.s.”",1
24,"kamala harris said, “we will be shuttering the va… the money saved will go to better use in assisting refugee families.”",1
26,"diesel prices jumped from $1.69 to $3.19 since biden took office, and the president is to blame.",1
27,"""we saw the increases (of unaccompanied minors at the southern u.s. border) dating back almost a year.""",0
28,a lack of transparency for small-dollar donations is the “same thing” as dark money,1
29,"“fallon (fox), a transgender mma fighter, has now broken 2 female opponents’ skulls,” and shows a photo of fox alongside an mma fighter with a severely bloodied face.",1
30,h.r. 1 “allows minors to vote.”,1
31,alexandria ocasio-cortez's net worth is “over $1 million.”,1
33,a nurse pretending to vaccinate actor Anthony Hopkins before squirting fluid in the syringe on the floor.,1
34,joe biden executive orders caused price increases of 50 cents in gas and 10% in food.,1
35,“schools banning dr seuss books.”,1
36,“senate democrats just voted to give stimulus checks to criminals in prison.”,0
38,the georgia house passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,0
39,“ballots in arizona’s maricopa county” from the 2020 presidential election “found shredded and in dumpster days before senate audit to begin.”,1
40,oprah winfrey was wearing an ankle monitor during her meghan markle interview.,1
41,"a study “suggests that even after two years of hormone therapy, biological boys still maintain significant advantages over girls, including being 12% faster on the 1.5-mile run.”",1
42,“the filibuster was never an idea of the founding fathers.”,0
43,video suggests dr anthony fauci said vaccines don’t protect against covid-19.,1
45,"“when i came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in america.”",1
46,"in aberdeen, miss., “massive 78% of mail-in ballots proved fraudulent, judge orders election do-over.”",0
47,"the nc elections board “did not change state law.""",1
48,"the voting bill known as h.r. 1 would mean “that millions of illegal immigrants are quickly registered to vote.""",1
49,h.r. 1 “would allow the boston bomber to have a right to vote.”,1
50,someone wearing an Anthony Fauci mask.,1
52,“pipelines do not freeze. they are naturally insulated. they’re buried beneath the ground.”,0
53,"“the national academy of medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",0
54,“biden took down dr seuss and mr. potato head.”,1
55,photos show u.s. senators sleeping in the chamber.,1
56,5-year-olds can “take hormones and change my sex.”,1
57,“nasa discovers thc on meteorite fragment.”,1
58,"the voting bill known as h.r. 1 ""would force states to adopt universal mail-in ballots.”",1
59,"""some people are going to die from the vaccine directly. but a large number of people are going to start getting horribly sick and get all kinds of autoimmune diseases.""",1
60,donald trump indicted amy coney barrett.,1
61,“twice as many children are in border patrol custody under biden than trump peak in 2019.”,0
62,ford agreed to invest $900 million at an ohio plant because donald trump “lowered taxes” and is now moving the project to mexico because joe biden is “increasing taxes.”,1
63,"“pete buttigieg’s dog and pony show. he gets out of [the] car to ride his bike a few feet, pretending to save energy.”",1
64,"“per the cdc, there are nearly twice as many vaccine-related deaths so far in 2021 (1,755) than all the vaccine deaths this past decade (994).”",1
65,"gov tony evers’ 2021-22 state budget ""increases taxes $1 billion +""",0
66,"navy seals found over 1,000 trafficked children and dead bodies on the evergreen ship that blocked the suez canal.",1
68,"in this photo, “man uses a gun to rob a texas convenience store. man was shot by every customer inside the store”",1
70,“people don’t pretend to be someone else to go in and vote. you just don’t see that kind of fraud.”,0
71,"“as of today, no one has the right to film or photograph mr. biden as he climbs the flight of stairs. new white house spokesman orders!!?”",1
72,joe biden’s infrastructure plan “is the green new deal.”,1
74,"""they’re unable to administer vaccines if the lockdown ends because the emergency ends with it.”",1
75,hr 1 “gives the federal government the power to establish their own committees” to take over the redistricting process.,1
76,the number of pregnant women who have miscarried increased by “366% in just six weeks” as a result of their receiving a covid-19 vaccine.,1
77,michigan election bills are “designed to make it easier for people to vote.”,1
78,“the tax deadline is april 18th. do your taxes soon.”,1
79,"""mrna is not a vaccine"" — it's ""actually an operating system"" that's run by bill gates to program humans.",1
80,"“if i don’t take the vaccine, i’m at risk for covid. if i do take the vaccine, i’m still at risk for covid plus i’m at risk for permanent vaccine side effects. therefore i’m reducing my risk by not taking the vaccine. that’s the real science.”",1
81,calls covid-19 vaccine a “non-fda-approved experimental agent.”,1
82,“all the cargo ships backed up by the Suez Canal. Get ready for shortages and prices to skyrocket.”,1
83,h.r. 1 gives immigrants illegally in the country “the right to vote.”,1
84,"“from europe: 3,964 people have died from adverse drug reactions for covid-19 ‘vaccines’ – 162,610 injuries.”",1
85,"if the voting bill h.r. 1 is passed, “absentee ballots would be mailed out to anyone without proof of the voter’s identity.”",1
86,u.s. rep. matt gaetz was the lone vote in the house against an anti-human trafficking bill.,0
87,video says covid-19 vaccines are “weapons of mass destruction” that “could wipe out the human race.”,1
88,a lithium mine.,1
89,ben shapiro said on twitter that his “red pill moment” was sharing cupcakes with poor kids.,1
91,"the school voucher bill the iowa legislature is considering would ""give your education tax dollars to corporations.""",0
92,"“trump assassination foiled, deep state in panic mode!”",1
93,Democratic protesters who “stormed the U.S. Capitol in 2018.”,1
94,"denzel washington said, “i support police over blm, don’t put them down!”",1
95,“i don’t even know what (qanon) is.”,1
96,joe biden “has officially lowered the age of consent to 5 years old.”,1
97,nancy pelosi sent a letter to portland’s mayor after demonstrations there “urging him to stick to the proven democratic play book.”,1
98,left-wing activist john sullivan “incited (the) insurgence of (the) us capitol.”,1
99,“the dc looting was staged” by antifa,1
100,"covid-19 relief bill “provides more funding to foreign governments and to american arts centers, than to the american people.”",1
101,"“cdc covid-19 survival rates” are 99.997% for people ages 0 to 19, 99.98% for people ages 20 to 49, 99.5% for people ages 50 to 69, and 94.6% for people over 70.",1
102,"joe biden ""really did wipe away"" student loan debt.",1
103,gov tony evers “has the authority and revenue necessary” to upgrade the wisconsin unemployment system without the legislature.,1
104,the white house was dark for 10 nights in a row.,1
105,“us capitol raided 2/2/21.”,1
106,"""a lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security.""",1
107,joe biden has “allowed males to compete in girls’ sports.”,1
108,Rachel Levine’s family.,1
109,that the oil and gas industry comprises 35% of the texas economy.,0
110,“dead people also voted.”,1
111,“nurse passes out on live tv after taking vaccine.”,1
112,chief justice john roberts visited jeffrey epstein's private island.,1
113,“this is a phony pandemic.”,1
114,“jurisdictions representing about 80% of wi residents have passed referendums or resolutions in favor of fair maps.”,0
115,“myanmar used dominion voting systems.”,1
116,“donald trump is the first president in modern history (who) did not start a new war.”,1
117,facebook tried to “shut down” the campaign to recall california gov gavin newsom.,1
118,nancy pelosi bought $1.25 million in tesla stock the day before joe biden signed an order “for all federal vehicles” to be electric.,1
119,"h&m advertised a sweatshirt that said, “koolest kid in the klan.”",1
120,"insulin prices have ""gone thru the roof for patients/taxpayers bc of manufacturer, health plan & pbm biz practices.""",0
122,"north carolina secretary of state elaine marshall ""has won more statewide races than probably anyone else alive.""",0
123,“the biden administration lost 20 million covid vaccines.”,1
124,"congressional benefits include “free health care, outrageous retirement packages, 67 paid holidays, three weeks paid vacation, unlimited paid sick days.”",1
125,an “audit report” found that a voting system used in michigan in the 2020 presidential election was designed to “create systemic fraud.”,1
126,“who now saying you do not need to wear a mask.”,1
127,masks have negative impacts on 68% of children.,0
128,"in-person learning isn't driving spikes in cases.""",1
129,the new coronavirus vaccines contain toxic ingredients and are more dangerous than getting covid-19.,1
130,“21% of people are having serious adverse events from (the moderna) vaccine.”,1
131,"that guidance urging vaccinated people to avoid travel and continue wearing masks is ""profoundly anti-science.""",1
132,a 2018 executive order gives trump the ability to impose martial law,1
133,National Guard at the Capitol during the Black Lives Matter protests in D.C.,0
134,"""this election actually was not unusually close.""",1
135,"32,000 votes for david perdue “disappeared” during the georgia senate runoff election.",1
136,"“last year, pennsylvania elected officials passed a whole new law that allows universal mail-in balloting, and did it irregardless of what the pennsylvania constitution said.”",1
137,"activists threatened his family and “screamed threats, vandalized, and tried to pound open our door.”",0
138,"in more than 60 cases, judges “looked at the allegations that trump was making and determined they were without any merit.”",1
139,joe biden’s inauguration was fake and he is not the legitimate president.,1
140,"joe biden said, “i don’t know what i’m signing,” while signing a document.",1
141,“u.s. military at the white house arresting congress.”,1
142,"a cnn chyron said, “antifa has just taken responsibility for storming capital hill.”",1
143,mike pence was arrested.,1
144,"“the fbi just confirmed that it was antifa, not trump supporters, who breached the capitol.”",1
145,the simpsons predicted the capitol riots,1
146,kamala harris is planning to use the 25th amendment against joe biden and appoint mike pence as her vice president.,1
147,that “those who stormed the capitol yesterday were not trump supporters. they have been confirmed to be antifa.”,1
148,"the woman killed during the jan. 6 u.s. capitol assault was shot by a secret service agent, not capitol police.",1
149,the storming of the capitol was staged.,1
150,quotes show democrats supported riots “when blm was burning down cities and killing people in the streets!”,1
151,“evidence growing that fascist antifa orchestrated capitol attack with clever mob control tactics.”,1
152,"police removing disabled protesters from the Capitol on Jan. 6, 2021.",1
153,"voting machines didn’t work in heavily gop areas for the georgia runoff elections, leaving some voters unable to cast ballots.",1
154,president donald trump will hold his inauguration for a second term at mar-a-lago,1
155,say north carolina gov roy cooper was arrested for driving while intoxicated in stanly county.,1
156,"raphael warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",1
157,a georgia bureau of investigation agent was killed for investigating the election.,1
158,“schools that are consistently implementing covid-19 mitigation strategies remain among the safest places for our students.”,0
160,“this whole covid thing? it’s a simulation.”,1
162,“one of the first nurses to receive the vaccine in al is now dead.”,1
163,an austrian politician “exposed the defectiveness of the government’s covid-19 tests by demonstrating how even a glass of coca cola will test positive for covid-19.”,1
164,"“6 states will cast their (electoral) votes for trump and for biden,” which will lead to a second trump term.",1
165,"the american medical association rescinded a previous statement and now says ""hydroxychloroquine is okay"" for covid-19.",1
166,“government imposed lockdowns do not reduce [covid-19] cases or stop spikes.”,1
167,“nasa confirms earth will go dark for 6 days in december 2020.”,1
168,"kelly loeffler supports ""raising taxes on georgia's middle class.""",1
169,"“68% error rate in michigan voting machines. should be, by law, a tiny percentage of one percent.”",1
170,the percentage of americans with natural immunity from getting covid-19 is “a very powerful vaccine in itself.”,1
171,japan’s prime minister met with vice president kamala harris holding a trump 2024 sign and wearing a red baseball cap.,1
172,“joe biden and the democrats want to remove any term that denotes gender.”,1
173,“foot locker donated 200 million dollars to blm.”,1
174,derek chauvin had his left hand in his pocket while kneeling on george floyd.,1
175,schools stopped teaching children cursive so they wouldn’t be able to read the u.s. constitution and other historical documents.,1
176,hobby lobby’s ceo wrote a letter saying the company’s stores may close.,1
177,a serial killer is on the loose in virginia.,1
178,"“i restored felons’ rights - 173,000 - more than any governor in the history of america.”",0
179,texas “could be very close to herd immunity.”,1
181,"science shows the physiological effects of wearing masks include hypoxemia, hypercapnia, shortness of breath, toxicity and increased muscle tension.",1
182,police say there is a suspected serial killer in baton rouge.,1
183,michigan used a mathematical “key” to manipulate vote totals in 2020 election.,1
184,"“this is all about a certificate of vaccination where they get you a national id, and then the ai can track you.”",1
185,"coca-cola, ben & jerry’s and other companies support rioting.",1
186,republican lawmakers delayed covid-19 testing,1
187,the nation is locked down and there’s “a wide open border.”,1
188,“republicans recently passed a bill to eliminate early voting on sunday” in georgia,0
189,"the latest stimulus package ""sends stimulus checks to imprisoned murderers, rapists, and child molesters.”",1
190,“we’re sending back the vast majority of the families that are coming.”,1
191,bull sharks were released in an arkansas river.,0
192,“we had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”,1
193,passports aren’t required to enter the united states from mexico and canada.,1
194,"""suez canal blocked by huge container ship named evergreen. evergreen shipping is most likely a cover for human and sex trafficking” by hillary clinton.",0
195,west virginia “is the only state to decline in population over the last 70 years”,1
196,"a cnn chyron said the boulder “shooter was factually arabic, but morally white.”",1
197,a facial recognition firm “confirmed antifa infiltrated the trump rally in d.c.”,1
198,a man who stormed the u.s. capitol in a horned fur cap is an “antifa thug.”,1
199,“georgia and kansas capitol buildings have been stormed by protesters.”,1
200,"""we won. we won in a landslide. this was a landslide.”",1
201,"""antifa"" is to blame for storming the u.s. capitol.",1
203,"“39% of americans … 31% of independents ... 17% of democrats believe the election was rigged.""",1
205,"""80% of people taking the moderna vaccine had significant side effects, via bill gates.""",0
206,"""illegal border crossings are up 173% from 1 year ago and 28% since january when president biden stopped the wall & deportations and started catch & release.""",1
207,"“right now, two-thirds of the u.s. senate is composed of millionaires.”",1
209,"""we proudly handed the biden administration the most secure border in history. all they had to do was keep this smooth-running system on autopilot.”",1
210,the border surge is “challenging” because the immigration system that had been in place for decades “was dismantled in its entirety by the trump administration.”,0
211,"the “president of drag queen story hour” was “arrested, charged with child pornography.”",1
212,these 11 mass shootings involved an ar-15-style weapon.,1
214,"“there was no violence on the senate side, in terms of the chamber.”",1
215,"“last week, the colorado supreme court declared that boulder’s ar-15 ban was unconstitutional. today, there was a mass shooting in boulder.”",1
216,"the shooting in boulder, colo., was a ""false flag like most of the others.""",1
217,the southern u.s. border “is now open to anyone from anywhere in the world who wishes to enter our country.”,1
